epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1235.45,1.84293,1.48367,1.15658,0.74842,0.66658,0.70322,0.37405,1.74132,1.20525,1.05989,0.000540037,0.000540037,0.000540037
43,1265.45,1.83126,1.48609,1.15809,0.73023,0.66349,0.70931,0.38769,1.78126,1.21557,1.0668,0.000531038,0.000531038,0.000531038
44,1296.27,1.85695,1.49809,1.15302,0.6756,0.71013,0.71609,0.40512,1.69468,1.19136,1.05098,0.000522039,0.000522039,0.000522039
45,1325.12,1.83431,1.48637,1.15008,0.77175,0.67124,0.70159,0.39079,1.78298,1.22519,1.06748,0.00051304,0.00051304,0.00051304
46,1354.19,1.83874,1.48415,1.14179,0.678,0.70467,0.70459,0.36636,1.79081,1.30981,1.07401,0.00050404,0.00050404,0.00050404
47,1383.13,1.82752,1.45886,1.13116,0.7532,0.66002,0.71736,0.37874,1.76007,1.15866,1.06168,0.000495041,0.000495041,0.000495041
48,1413.41,1.84282,1.44614,1.15031,0.69901,0.69868,0.71546,0.3874,1.80745,1.20856,1.0661,0.000486042,0.000486042,0.000486042
49,1443.99,1.8207,1.44238,1.13578,0.71148,0.66609,0.69107,0.36528,1.84617,1.24301,1.07991,0.000477043,0.000477043,0.000477043
50,1474.33,1.82643,1.43929,1.145,0.70241,0.65915,0.69591,0.37561,1.73564,1.21865,1.05368,0.000468044,0.000468044,0.000468044
51,1504.15,1.82718,1.4615,1.15269,0.75877,0.66276,0.70766,0.40663,1.73423,1.14299,1.04904,0.000459045,0.000459045,0.000459045
52,1534.86,1.80831,1.43405,1.13317,0.71099,0.64962,0.69175,0.3634,1.7702,1.22725,1.06022,0.000450046,0.000450046,0.000450046
53,1563.93,1.79479,1.4213,1.13174,0.72437,0.66302,0.71007,0.40731,1.73384,1.16143,1.04287,0.000441047,0.000441047,0.000441047
54,1592.9,1.79586,1.41945,1.14614,0.72901,0.68494,0.71902,0.4025,1.73822,1.16221,1.04893,0.000432048,0.000432048,0.000432048
55,1621.7,1.79606,1.40959,1.11915,0.69135,0.71541,0.71455,0.40275,1.70388,1.15877,1.04098,0.000423049,0.000423049,0.000423049
56,1651.17,1.80226,1.3866,1.13585,0.73524,0.71321,0.72335,0.40563,1.66029,1.1392,1.02175,0.000414049,0.000414049,0.000414049
57,1681.54,1.76659,1.37924,1.12244,0.74828,0.68191,0.72445,0.40862,1.76639,1.13883,1.05442,0.00040505,0.00040505,0.00040505
58,1710.7,1.77933,1.37837,1.12352,0.73674,0.68025,0.72912,0.4433,1.62225,1.13347,1.01649,0.000396051,0.000396051,0.000396051
59,1740.24,1.77107,1.36931,1.12134,0.74545,0.70817,0.73622,0.42726,1.68354,1.12744,1.03288,0.000387052,0.000387052,0.000387052
60,1770.3,1.78282,1.36533,1.11645,0.79755,0.66689,0.74255,0.45016,1.65504,1.122,1.02584,0.000378053,0.000378053,0.000378053
61,1800.18,1.78293,1.35137,1.11665,0.70181,0.70707,0.71152,0.36785,1.89346,1.19487,1.08752,0.000369054,0.000369054,0.000369054
62,1830.4,1.74918,1.34647,1.11998,0.72723,0.72285,0.73937,0.40697,1.78631,1.12601,1.05317,0.000360055,0.000360055,0.000360055
63,1860.22,1.7503,1.34738,1.10976,0.75115,0.71071,0.74996,0.43825,1.67815,1.09458,1.02943,0.000351056,0.000351056,0.000351056
64,1889.15,1.7637,1.34428,1.11651,0.74555,0.70217,0.73606,0.40843,1.77896,1.12667,1.05405,0.000342057,0.000342057,0.000342057
65,1919.23,1.78356,1.33012,1.11878,0.74164,0.71638,0.73638,0.40057,1.75532,1.10506,1.05136,0.000333058,0.000333058,0.000333058
66,1948.78,1.75473,1.35052,1.0958,0.67934,0.77023,0.74916,0.44826,1.63062,1.09596,1.01158,0.000324058,0.000324058,0.000324058
67,1978,1.75749,1.34318,1.12169,0.75291,0.71202,0.74379,0.45238,1.5932,1.09421,1.00558,0.000315059,0.000315059,0.000315059
68,2007.34,1.74289,1.35388,1.11327,0.73566,0.70385,0.73209,0.42502,1.68911,1.10173,1.02378,0.00030606,0.00030606,0.00030606
69,2036.59,1.7185,1.31155,1.10393,0.75973,0.67998,0.7437,0.44266,1.59089,1.09122,1.00172,0.000297061,0.000297061,0.000297061
70,2066.65,1.73641,1.31274,1.10848,0.75988,0.69435,0.74677,0.46273,1.58167,1.07401,1.00103,0.000288062,0.000288062,0.000288062
71,2095.07,1.71076,1.29603,1.09737,0.74097,0.7009,0.73541,0.44307,1.65731,1.08582,1.01962,0.000279063,0.000279063,0.000279063
72,2123.86,1.73195,1.28224,1.10119,0.75846,0.70837,0.75286,0.44608,1.62484,1.08582,1.00827,0.000270064,0.000270064,0.000270064
73,2152.96,1.73169,1.30918,1.11365,0.7539,0.71003,0.75248,0.4531,1.59296,1.09641,0.99727,0.000261065,0.000261065,0.000261065
74,2181.73,1.69608,1.28467,1.09407,0.71702,0.7609,0.74964,0.43195,1.64848,1.07479,1.01488,0.000252066,0.000252066,0.000252066
75,2212.57,1.70008,1.29054,1.09571,0.75177,0.7285,0.75826,0.46336,1.54992,1.05162,0.99206,0.000243067,0.000243067,0.000243067
76,2242.46,1.72972,1.27665,1.09388,0.70363,0.74277,0.74495,0.44574,1.64777,1.06824,1.0194,0.000234068,0.000234068,0.000234068
77,2272.57,1.70393,1.29204,1.10052,0.71832,0.75599,0.76106,0.466,1.58809,1.05634,0.99944,0.000225068,0.000225068,0.000225068
78,2302.09,1.7046,1.26133,1.0885,0.72104,0.7299,0.74714,0.44338,1.67345,1.07976,1.02639,0.000216069,0.000216069,0.000216069
79,2332.54,1.69722,1.26306,1.08439,0.72627,0.76449,0.75471,0.44783,1.68791,1.07233,1.02805,0.00020707,0.00020707,0.00020707
80,2362.11,1.70223,1.25497,1.0927,0.72182,0.75894,0.76026,0.46626,1.58519,1.05792,1.00045,0.000198071,0.000198071,0.000198071
81,2392.42,1.71472,1.28294,1.0891,0.74441,0.74701,0.75762,0.46362,1.56465,1.03805,0.99441,0.000189072,0.000189072,0.000189072
82,2422.08,1.68903,1.24767,1.09775,0.72993,0.75231,0.75631,0.46116,1.57243,1.04356,0.99214,0.000180073,0.000180073,0.000180073
83,2453.2,1.67793,1.24369,1.08591,0.74374,0.76336,0.76401,0.45331,1.60039,1.04501,1.00277,0.000171074,0.000171074,0.000171074
84,2482.91,1.6828,1.23712,1.09262,0.7161,0.76002,0.7538,0.46688,1.5886,1.03825,0.99729,0.000162075,0.000162075,0.000162075
85,2512.55,1.67711,1.22937,1.08505,0.73481,0.75473,0.75847,0.45417,1.62053,1.03855,1.00446,0.000153076,0.000153076,0.000153076
86,2542.02,1.67701,1.20975,1.08143,0.72762,0.75772,0.76496,0.45772,1.61209,1.03286,1.00435,0.000144077,0.000144077,0.000144077
87,2572.85,1.67276,1.23595,1.08128,0.72968,0.7598,0.76781,0.45764,1.60622,1.03932,1.00083,0.000135077,0.000135077,0.000135077
88,2602.95,1.66907,1.21001,1.06574,0.69825,0.77095,0.7711,0.47887,1.54832,1.03237,0.98333,0.000126078,0.000126078,0.000126078
89,2632.93,1.68112,1.23267,1.07912,0.74842,0.73996,0.76418,0.45941,1.60365,1.04774,0.99798,0.000117079,0.000117079,0.000117079
90,2662.95,1.67093,1.20497,1.08041,0.72119,0.77088,0.7686,0.47017,1.5521,1.03094,0.98596,0.00010808,0.00010808,0.00010808
