epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1203.72,2.47112,2.72478,1.4139,0.42919,0.25016,0.1756,0.06166,2.47439,2.29222,1.35182,0.000540037,0.000540037,0.000540037
43,1232.51,2.45313,2.6262,1.40704,0.48642,0.22651,0.16861,0.06093,2.43226,2.2291,1.3267,0.000531038,0.000531038,0.000531038
44,1261.89,2.47994,2.67403,1.40824,0.56819,0.16458,0.12226,0.0488,2.4481,2.21544,1.32532,0.000522039,0.000522039,0.000522039
45,1291.42,2.47472,2.69025,1.40022,0.54026,0.18539,0.13914,0.04997,2.42148,2.24642,1.32823,0.00051304,0.00051304,0.00051304
46,1320.63,2.47527,2.68398,1.39467,0.58122,0.17632,0.16956,0.05851,2.45981,2.21977,1.34796,0.00050404,0.00050404,0.00050404
47,1349.51,2.46018,2.63643,1.38071,0.4408,0.21763,0.14407,0.05286,2.43208,2.23621,1.33076,0.000495041,0.000495041,0.000495041
48,1378.57,2.46978,2.63889,1.39645,0.47673,0.27283,0.17785,0.06981,2.36278,2.18004,1.29769,0.000486042,0.000486042,0.000486042
49,1406.71,2.44546,2.63144,1.37834,0.44805,0.25526,0.17879,0.07224,2.51417,2.19238,1.34326,0.000477043,0.000477043,0.000477043
50,1435.82,2.45583,2.56857,1.38764,0.52091,0.2198,0.17682,0.06768,2.33135,2.15216,1.30188,0.000468044,0.000468044,0.000468044
51,1464.74,2.44852,2.66254,1.39962,0.49739,0.28563,0.19268,0.06827,2.40577,2.18217,1.3122,0.000459045,0.000459045,0.000459045
52,1492.92,2.4434,2.60035,1.37761,0.47226,0.28291,0.18093,0.08384,2.4371,2.16409,1.3186,0.000450046,0.000450046,0.000450046
53,1521.38,2.41005,2.57432,1.37007,0.53965,0.25613,0.18182,0.07388,2.44868,2.18295,1.33066,0.000441047,0.000441047,0.000441047
